Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
11.05.2014,Cardiff,Chelsea,1:02,A,7.77,4.88,1.39
11.05.2014,Fulham,Crystal Palace,2:02,D,2.56,3.45,2.68
11.05.2014,Hull City,Everton,0:02,A,3.7,3.47,2.02
11.05.2014,Liverpool,Newcastle,2:01,H,1.18,7.69,13.91
11.05.2014,Manchester City,West Ham,2:00,H,1.16,8.37,13.93
11.05.2014,Norwich,Arsenal,0:02,A,4.9,3.91,1.69
11.05.2014,Southampton,Manchester United,1:01,D,2.74,3.63,2.43
11.05.2014,Sunderland,Swansea,1:03,A,2.23,3.38,3.23
11.05.2014,Tottenham,Aston Villa,3:00,H,1.48,4.35,6.75
11.05.2014,West Brom,Stoke,1:02,A,2.17,3.43,3.31
07.05.2014,Manchester City,Aston Villa,4:00,H,1.15,8.56,15.86
07.05.2014,Sunderland,West Brom,2:00,H,2.03,3.08,4.26
06.05.2014,Manchester United,Hull City,3:01,H,1.42,4.76,7.22
05.05.2014,Crystal Palace,Liverpool,3:03,D,8.02,5.35,1.35
04.05.2014,Arsenal,West Brom,1:00,H,1.36,5.06,8.18
04.05.2014,Chelsea,Norwich,0:00,D,1.2,6.94,13.58
03.05.2014,Aston Villa,Hull City,3:01,H,2.53,3.02,3.09
03.05.2014,Everton,Manchester City,2:03,A,4.62,4.08,1.7
03.05.2014,Manchester United,Sunderland,0:01,A,1.41,4.89,7.36
03.05.2014,Newcastle,Cardiff,3:00,H,1.93,3.62,3.88
03.05.2014,Stoke,Fulham,4:01,H,2.26,3.4,3.16
03.05.2014,Swansea,Southampton,0:01,A,2.36,3.33,3.04
03.05.2014,West Ham,Tottenham,2:00,H,3.8,3.63,1.95
28.04.2014,Arsenal,Newcastle,3:00,H,1.22,6.48,12.31
27.04.2014,Crystal Palace,Manchester City,0:02,A,7.8,4.84,1.39
27.04.2014,Liverpool,Chelsea,0:02,A,1.67,3.94,5.06
27.04.2014,Sunderland,Cardiff,4:00,H,1.76,3.76,4.6
26.04.2014,Fulham,Hull City,2:02,D,2.32,3.32,3.15
26.04.2014,Manchester United,Norwich,4:00,H,1.3,5.61,9.7
26.04.2014,Southampton,Everton,2:00,H,2.78,3.4,2.51
26.04.2014,Stoke,Tottenham,0:01,A,3.41,3.39,2.16
26.04.2014,Swansea,Aston Villa,4:01,H,1.67,3.71,5.46
26.04.2014,West Brom,West Ham,1:00,H,1.86,3.61,4.25
21.04.2014,Manchester City,West Brom,3:01,H,1.22,6.91,12.18
20.04.2014,Everton,Manchester United,2:00,H,2.54,3.43,2.73
20.04.2014,Hull City,Arsenal,0:03,A,4.8,3.64,1.76
20.04.2014,Norwich,Liverpool,2:03,A,6.75,4.83,1.44
19.04.2014,Aston Villa,Southampton,0:00,D,3.25,3.3,2.27
